??,2016?,2015?,2014?,2013?,2012?,2011?,2010?,2009?,2008?,2007?,,
???,145.2,154.48,155.1,170.41,166.29,163.37,154.2,140.44,128.1,115.48,Beijing,1
???,244.31,238.02,230.74,217.16,195.99,179.87,168.3,139.7,127.67,117.6,Tianjin,2
???,3459.39,3441.37,3453.42,3473.27,3095.29,2775.27,2470.1,1927.78,1760.75,1639.07,He Bei,3
???,958.11,969.52,984.03,932.14,847.41,767.14,669,556.34,366.16,322.65,Shan Xi,4
??????,1415.07,1418.31,1408.44,1328.07,1171.97,1057.85,900.4,731.9,716.61,620.42,Inner Mongulia,5
???,1859.55,2068.6,1734.13,1673.86,1539.65,1307.15,1140.3,913.48,896.93,837.5,Liao Ning,6
???,1231.98,1400.38,1342.54,1261.68,1166.58,1020.44,866.9,777.45,749.2,641.5,Ji Lin,7
????,2873.86,2911.86,3015.61,2856.34,2315.64,1801.84,1369.2,1206.79,1142.31,971.94,Hei Long Jiang,8
???,148.53,162.04,169.51,172.28,171.48,165.07,155.3,147.53,137.52,126.74,Shang Hai,9
???,3714.64,3722.1,3362.81,3167.78,2966.72,2640.95,2269.6,1948.2,1746.83,1542.53,Jiang Su,10
???,1521.19,1434.71,1385.96,1336.79,1229.36,1152.04,1041.3,879.05,813.1,735.92,Zhe Jiang,11
???,2234.14,2174.61,2119.21,2003.26,1867.64,1714.84,1544.4,1289.79,1197.89,1054.01,An Hui,12
???,1782.01,1618.59,1529.57,1376.29,1263.71,1136.18,976.6,826.22,763.02,685.3,Fu Jian,13
???,1446.89,1326.9,1144.08,1072.8,1003.21,917.82,801.4,729.72,694.32,621.26,Jiang Xi,14
???,4641.35,4929.85,4765.78,4509.88,3960.62,3843.62,3670.1,3223.99,2895.68,2604.07,Shan Dong,15
???,4577.16,4610.71,4491.95,4202.3,3958.95,3599.9,3540.8,2833.27,2561.1,2254.52,He Nan,16
???,2921.27,2780.37,2761.67,2678.08,2488.06,2299.3,1921.7,1511.49,1395.76,1152.09,Hu Bei,17
???,3255.11,3043.52,2884.73,2726.75,2651.69,2391.67,2059.6,1596.65,1446.87,1243.15,Hu Nan,18
???,3134.44,2793.76,2613.18,2444.7,2229.27,2042.16,1760.2,1551.03,1481.69,1328.7,Guang Dong,19
???????,2347.9,2146.37,1993.98,1868.3,1724,1602.48,1339.6,1134.98,1106.74,970.55,Guang Xi,20
???,695.64,613.87,568.22,485.4,460.72,401,341.7,307.57,274.03,224.17,Hai Nan,21
???,1151.77,1033.68,967.87,909.18,841.81,751.22,623.3,522.84,465.47,401.48,Chong Qing,22
???,3710.97,3335.51,3078.61,2903.48,2764.9,2454.26,2069.3,1806.06,1607.55,1316.6,Si Chuan,23
???,1888.64,1772.59,1321.86,997.12,864.86,655.3,587.3,501.52,464.79,392.2,Gui Zhou,24
???,1943.65,1841.46,1806.3,1639.4,1398.18,1124.72,925.6,850.65,780.9,683.8,Yun Nan,25
?????,52.23,68.05,63.26,57.92,53.39,49.62,46.1,39.06,43.7,39.49,Xi Zang,26
???,2027.56,1910.71,1870.78,1714.79,1526.28,1360.7,1107.2,823.6,775.85,629.34,Shaan Xi,27
???,1274.71,1252.51,1174.93,1104.47,984.24,848.45,757.6,587.27,529.56,458.73,Gan Su,28
???,155.52,145,144.21,138.35,117.09,102.91,92.1,61.31,58.74,49.16,Qing Hai,29
???????,311.89,310.99,273.96,269,240.46,223.61,195.1,146.78,131.14,111.12,Ning Xia,30
????????,2163.11,2005.38,1955.11,1806.11,1675,1437.89,1376.9,898.62,784.19,767,Xin Jiang,31
??????????,,,,,,,,,,,,
